,Search String,Title,Media,Link,Date,Search Engine
10,Microsoft and AI,Microsoft tests Voice Clarity feature for Windows 11: How can it enhance user experience | - Times...,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-tests-voice-clarity-feature-for-windows-11-how-can-it-enhance-user-experience/articleshow/107210462.cms,2024-01-29 12:56:38.328041,Yahoo
11,Microsoft and AI,How Microsoft catapulted to $3 trillion on the back of AI,Livemint,https://www.livemint.com/companies/how-microsoft-catapulted-to-3-trillion-on-the-back-of-ai-11706250100474.html,2024-01-29 11:57:38.328041,Yahoo
12,Microsoft and AI,What Microsoft CEO Satya Nadella has to say on Taylor Swift's explicit AI images | - Times of India,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/what-microsoft-ceo-satya-nadella-has-to-say-on-taylor-swifts-explicit-ai-images/articleshow/107192174.cms,2024-01-28 12:57:38.328041,Yahoo
13,Microsoft and AI,"Microsoft to lay off 1,900 employees from Activision Blizzard & Xbox - ETHRWorldME",The Economic Times,https://hrme.economictimes.indiatimes.com/news/microsoft-to-lay-off-1900-employees-from-activision-blizzard-xbox/107209860,2023-12-29 12:57:38.328041,Yahoo
14,Microsoft and AI,Microsoft reportedly wants to develop smaller and cheaper AI language models,Livemint,https://www.livemint.com/technology/tech-news/microsoft-creates-new-gen-ai-team-to-develop-smaller-and-cheaper-language-models-openai-large-language-model-ai-report-11706075901101.html,2023-01-29 12:57:38.328041,Yahoo
15,Microsoft and AI,Microsoft's AI Gamble Paying Off As Market Value Crosses $3 Trillion - News18,News18,https://www.news18.com/tech/microsofts-ai-gamble-paying-off-as-market-value-crosses-3-trillion-8753603.html,2024-01-29 12:44:38.328041,Yahoo
16,Microsoft and AI,"AI race propels Microsoft, Meta, and Google to new highs. Here's why",Livemint,https://www.livemint.com/companies/news/ai-race-propels-silicon-valley-tech-firms-microsoft-meta-and-google-to-new-highs-heres-why-11706157543757.html,2024-01-28 23:57:38.328041,Yahoo
17,Microsoft and AI,Microsoft hits $3 trillion value on strong AI rally - Times of India,The Times of India,https://timesofindia.indiatimes.com/business/india-business/microsoft-hits-3-trillion-value-on-strong-ai-rally/articleshow/107124708.cms,2024-01-16 12:57:38.328041,Yahoo
18,Microsoft and AI,Microsoft AI Chatbots with Lower Computing Power | - Times of India,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-ai-chatbots-with-lower-computing-power/articleshow/107118378.cms,2022-12-29 12:57:38.328041,Yahoo
19,Microsoft and AI,"US Regulator To Probe Microsoft, Google, Amazon's AI Investments",NDTV,https://www.ndtv.com/world-news/us-regulator-to-probe-microsoft-google-amazons-ai-investments-4932351,2011-01-29 12:57:38.328041,Yahoo
20,Microsoft and AI,Microsoft tests Voice Clarity feature for Windows 11: How can it enhance user experience | - Times...,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-tests-voice-clarity-feature-for-windows-11-how-can-it-enhance-user-experience/articleshow/107210462.cms,2024-01-29 12:52:38.328041,Yahoo
21,Microsoft and AI,How Microsoft catapulted to $3 trillion on the back of AI,Livemint,https://www.livemint.com/companies/how-microsoft-catapulted-to-3-trillion-on-the-back-of-ai-11706250100474.html,2024-01-29 07:57:38.328041,Yahoo
22,Microsoft and AI,What Microsoft CEO Satya Nadella has to say on Taylor Swift's explicit AI images | - Times of India,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/what-microsoft-ceo-satya-nadella-has-to-say-on-taylor-swifts-explicit-ai-images/articleshow/107192174.cms,2024-01-24 12:57:38.328041,Yahoo
23,Microsoft and AI,"Microsoft to lay off 1,900 employees from Activision Blizzard & Xbox - ETHRWorldME",The Economic Times,https://hrme.economictimes.indiatimes.com/news/microsoft-to-lay-off-1900-employees-from-activision-blizzard-xbox/107209860,2023-08-29 12:57:38.328041,Yahoo
24,Microsoft and AI,Microsoft reportedly wants to develop smaller and cheaper AI language models,Livemint,https://www.livemint.com/technology/tech-news/microsoft-creates-new-gen-ai-team-to-develop-smaller-and-cheaper-language-models-openai-large-language-model-ai-report-11706075901101.html,2019-01-29 12:57:38.328041,Yahoo
25,Microsoft and AI,Microsoft's AI Gamble Paying Off As Market Value Crosses $3 Trillion - News18,News18,https://www.news18.com/tech/microsofts-ai-gamble-paying-off-as-market-value-crosses-3-trillion-8753603.html,2024-01-29 12:53:38.328041,Yahoo
26,Microsoft and AI,"AI race propels Microsoft, Meta, and Google to new highs. Here's why",Livemint,https://www.livemint.com/companies/news/ai-race-propels-silicon-valley-tech-firms-microsoft-meta-and-google-to-new-highs-heres-why-11706157543757.html,2024-01-29 08:57:38.328041,Yahoo
27,Microsoft and AI,Microsoft hits $3 trillion value on strong AI rally - Times of India,The Times of India,https://timesofindia.indiatimes.com/business/india-business/microsoft-hits-3-trillion-value-on-strong-ai-rally/articleshow/107124708.cms,2024-01-25 12:57:38.328041,Yahoo
28,Microsoft and AI,Microsoft AI Chatbots with Lower Computing Power | - Times of India,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-ai-chatbots-with-lower-computing-power/articleshow/107118378.cms,2023-09-29 12:57:38.328041,Yahoo
29,Microsoft and AI,"US Regulator To Probe Microsoft, Google, Amazon's AI Investments",NDTV,https://www.ndtv.com/world-news/us-regulator-to-probe-microsoft-google-amazons-ai-investments-4932351,2020-01-29 12:57:38.328041,Yahoo
30,Microsoft and AI,Microsoft tests Voice Clarity feature for Windows 11: How can it enhance user experience | - Times...,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-tests-voice-clarity-feature-for-windows-11-how-can-it-enhance-user-experience/articleshow/107210462.cms,2024-01-29 12:53:38.328041,Yahoo
31,Microsoft and AI,How Microsoft catapulted to $3 trillion on the back of AI,Livemint,https://www.livemint.com/companies/how-microsoft-catapulted-to-3-trillion-on-the-back-of-ai-11706250100474.html,2024-01-29 08:57:38.328041,Yahoo
32,Microsoft and AI,What Microsoft CEO Satya Nadella has to say on Taylor Swift's explicit AI images | - Times of India,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/what-microsoft-ceo-satya-nadella-has-to-say-on-taylor-swifts-explicit-ai-images/articleshow/107192174.cms,2024-01-25 12:57:38.328041,Yahoo
33,Microsoft and AI,"Microsoft to lay off 1,900 employees from Activision Blizzard & Xbox - ETHRWorldME",The Economic Times,https://hrme.economictimes.indiatimes.com/news/microsoft-to-lay-off-1900-employees-from-activision-blizzard-xbox/107209860,2023-09-29 12:57:38.328041,Yahoo
34,Microsoft and AI,Microsoft reportedly wants to develop smaller and cheaper AI language models,Livemint,https://www.livemint.com/technology/tech-news/microsoft-creates-new-gen-ai-team-to-develop-smaller-and-cheaper-language-models-openai-large-language-model-ai-report-11706075901101.html,2020-01-29 12:57:38.328041,Yahoo
35,Microsoft and AI,Microsoft's AI Gamble Paying Off As Market Value Crosses $3 Trillion - News18,News18,https://www.news18.com/tech/microsofts-ai-gamble-paying-off-as-market-value-crosses-3-trillion-8753603.html,2024-01-29 12:53:38.328041,Yahoo
36,Microsoft and AI,"AI race propels Microsoft, Meta, and Google to new highs. Here's why",Livemint,https://www.livemint.com/companies/news/ai-race-propels-silicon-valley-tech-firms-microsoft-meta-and-google-to-new-highs-heres-why-11706157543757.html,2024-01-29 08:57:38.328041,Yahoo
37,Microsoft and AI,Microsoft hits $3 trillion value on strong AI rally - Times of India,The Times of India,https://timesofindia.indiatimes.com/business/india-business/microsoft-hits-3-trillion-value-on-strong-ai-rally/articleshow/107124708.cms,2024-01-25 12:57:38.328041,Yahoo
38,Microsoft and AI,Microsoft AI Chatbots with Lower Computing Power | - Times of India,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-ai-chatbots-with-lower-computing-power/articleshow/107118378.cms,2023-09-29 12:57:38.328041,Yahoo
39,Microsoft and AI,"US Regulator To Probe Microsoft, Google, Amazon's AI Investments",NDTV,https://www.ndtv.com/world-news/us-regulator-to-probe-microsoft-google-amazons-ai-investments-4932351,2020-01-29 12:57:38.328041,Yahoo
40,Microsoft and AI,Microsoft tests Voice Clarity feature for Windows 11: How can it enhance user experience | - Times...,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-tests-voice-clarity-feature-for-windows-11-how-can-it-enhance-user-experience/articleshow/107210462.cms,2024-01-29 12:52:38.328041,Yahoo
41,Microsoft and AI,How Microsoft catapulted to $3 trillion on the back of AI,Livemint,https://www.livemint.com/companies/how-microsoft-catapulted-to-3-trillion-on-the-back-of-ai-11706250100474.html,2024-01-29 07:57:38.328041,Yahoo
42,Microsoft and AI,What Microsoft CEO Satya Nadella has to say on Taylor Swift's explicit AI images | - Times of India,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/what-microsoft-ceo-satya-nadella-has-to-say-on-taylor-swifts-explicit-ai-images/articleshow/107192174.cms,2024-01-24 12:57:38.328041,Yahoo
43,Microsoft and AI,"Microsoft to lay off 1,900 employees from Activision Blizzard & Xbox - ETHRWorldME",The Economic Times,https://hrme.economictimes.indiatimes.com/news/microsoft-to-lay-off-1900-employees-from-activision-blizzard-xbox/107209860,2023-08-29 12:57:38.328041,Yahoo
44,Microsoft and AI,Microsoft reportedly wants to develop smaller and cheaper AI language models,Livemint,https://www.livemint.com/technology/tech-news/microsoft-creates-new-gen-ai-team-to-develop-smaller-and-cheaper-language-models-openai-large-language-model-ai-report-11706075901101.html,2019-01-29 12:57:38.328041,Yahoo
45,Microsoft and AI,Microsoft's AI Gamble Paying Off As Market Value Crosses $3 Trillion - News18,News18,https://www.news18.com/tech/microsofts-ai-gamble-paying-off-as-market-value-crosses-3-trillion-8753603.html,2024-01-29 12:53:38.328041,Yahoo
46,Microsoft and AI,"AI race propels Microsoft, Meta, and Google to new highs. Here's why",Livemint,https://www.livemint.com/companies/news/ai-race-propels-silicon-valley-tech-firms-microsoft-meta-and-google-to-new-highs-heres-why-11706157543757.html,2024-01-29 08:57:38.328041,Yahoo
47,Microsoft and AI,Microsoft hits $3 trillion value on strong AI rally - Times of India,The Times of India,https://timesofindia.indiatimes.com/business/india-business/microsoft-hits-3-trillion-value-on-strong-ai-rally/articleshow/107124708.cms,2024-01-25 12:57:38.328041,Yahoo
48,Microsoft and AI,Microsoft AI Chatbots with Lower Computing Power | - Times of India,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-ai-chatbots-with-lower-computing-power/articleshow/107118378.cms,2023-09-29 12:57:38.328041,Yahoo
49,Microsoft and AI,"US Regulator To Probe Microsoft, Google, Amazon's AI Investments",NDTV,https://www.ndtv.com/world-news/us-regulator-to-probe-microsoft-google-amazons-ai-investments-4932351,2020-01-29 12:57:38.328041,Yahoo
50,Microsoft and AI,Microsoft tests Voice Clarity feature for Windows 11: How can it enhance user experience | - Times...,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-tests-voice-clarity-feature-for-windows-11-how-can-it-enhance-user-experience/articleshow/107210462.cms,2024-01-29 12:51:38.328041,Yahoo
51,Microsoft and AI,How Microsoft catapulted to $3 trillion on the back of AI,Livemint,https://www.livemint.com/companies/how-microsoft-catapulted-to-3-trillion-on-the-back-of-ai-11706250100474.html,2024-01-29 06:57:38.328041,Yahoo
52,Microsoft and AI,What Microsoft CEO Satya Nadella has to say on Taylor Swift's explicit AI images | - Times of India,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/what-microsoft-ceo-satya-nadella-has-to-say-on-taylor-swifts-explicit-ai-images/articleshow/107192174.cms,2024-01-23 12:57:38.328041,Yahoo
53,Microsoft and AI,"Microsoft to lay off 1,900 employees from Activision Blizzard & Xbox - ETHRWorldME",The Economic Times,https://hrme.economictimes.indiatimes.com/news/microsoft-to-lay-off-1900-employees-from-activision-blizzard-xbox/107209860,2023-07-29 12:57:38.328041,Yahoo
54,Microsoft and AI,Microsoft reportedly wants to develop smaller and cheaper AI language models,Livemint,https://www.livemint.com/technology/tech-news/microsoft-creates-new-gen-ai-team-to-develop-smaller-and-cheaper-language-models-openai-large-language-model-ai-report-11706075901101.html,2018-01-29 12:57:38.328041,Yahoo
55,Microsoft and AI,Microsoft's AI Gamble Paying Off As Market Value Crosses $3 Trillion - News18,News18,https://www.news18.com/tech/microsofts-ai-gamble-paying-off-as-market-value-crosses-3-trillion-8753603.html,2024-01-29 12:54:38.328041,Yahoo
56,Microsoft and AI,"AI race propels Microsoft, Meta, and Google to new highs. Here's why",Livemint,https://www.livemint.com/companies/news/ai-race-propels-silicon-valley-tech-firms-microsoft-meta-and-google-to-new-highs-heres-why-11706157543757.html,2024-01-29 09:57:38.328041,Yahoo
57,Microsoft and AI,Microsoft hits $3 trillion value on strong AI rally - Times of India,The Times of India,https://timesofindia.indiatimes.com/business/india-business/microsoft-hits-3-trillion-value-on-strong-ai-rally/articleshow/107124708.cms,2024-01-26 12:57:38.328041,Yahoo
58,Microsoft and AI,Microsoft AI Chatbots with Lower Computing Power | - Times of India,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-ai-chatbots-with-lower-computing-power/articleshow/107118378.cms,2023-10-29 12:57:38.328041,Yahoo
59,Microsoft and AI,"US Regulator To Probe Microsoft, Google, Amazon's AI Investments",NDTV,https://www.ndtv.com/world-news/us-regulator-to-probe-microsoft-google-amazons-ai-investments-4932351,2021-01-29 12:57:38.328041,Yahoo
60,Microsoft and Phone,Microsoft tests Voice Clarity feature for Windows 11: How can it enhance user experience | - Times...,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-tests-voice-clarity-feature-for-windows-11-how-can-it-enhance-user-experience/articleshow/107210462.cms,2024-01-29 12:56:38.328041,Yahoo
61,Microsoft and Phone,"Apple announces changes coming to iPhone; layoffs at Microsoft, Flipkart, and others; India gets its...",The Times of India,https://timesofindia.indiatimes.com/gadgets-news/apple-announces-changes-coming-to-iphone-layoffs-at-microsoft-flipkart-and-others-india-gets-its-first-ai-unicorn-and-other-top-tech-news-of-the-week/photostory/107197586.cms,2024-01-29 11:57:38.328041,Yahoo
62,Microsoft and Phone,"AI Powers Microsoft to $3 Trillion Market Value, Second to Apple",Gadgets 360,https://www.gadgets360.com/internet/news/microsoft-usd-3-trillion-market-value-ai-openai-chatgpt-apple-4930306,2024-01-28 12:57:38.328041,Yahoo
63,Microsoft and Phone,FTC launches inquiry into AI deals such as Microsoft's OpenAI partnership,Business Standard India,https://www.business-standard.com/world-news/ftc-launches-inquiry-into-ai-deals-such-as-microsoft-s-openai-partnership-124012501252_1.html,2023-12-29 12:57:38.328041,Yahoo
64,Microsoft and Phone,"iPhone could soon be the best gaming phone, thanks to this Apple decision",T3,https://www.t3.com/news/iphone-could-soon-be-the-best-gaming-phone-thanks-to-this-apple-decision,2023-01-29 12:57:38.328041,Yahoo
65,Microsoft and Phone,Honor Magic V2 hands-on review: A fold above the rest,LaptopMag,https://www.laptopmag.com/reviews/honor-magic-v2-smartphone,2024-01-29 12:44:38.328041,Yahoo
66,Microsoft and Phone,Google Pixel 8 Series And Chrome Got These Big AI Upgrades; Here's What You Can Do Now,Mashable India,https://in.mashable.com/tech/68298/google-pixel-8-series-and-chrome-got-these-big-ai-upgrades-heres-what-you-can-do-now,2024-01-28 23:57:38.328041,Yahoo
67,Microsoft and Phone,Foxconn India journey gets a leg-up as CEO Young Liu gets Padma Bhushan,Business Standard India,https://www.business-standard.com/companies/news/foxconn-india-journey-gets-a-leg-up-as-ceo-young-liu-gets-padma-bhushan-124012600833_1.html,2024-01-16 12:57:38.328041,Yahoo
68,Microsoft and Phone,Users of Samsung's new Galaxy AI features may have to pay in the future - ET Telecom,The Economic Times,https://economictimes.indiatimes.com/industry/cons-products/electronics/users-of-samsungs-new-galaxy-ai-features-may-have-to-pay-in-the-future/articleshow/107210076.cms,2022-12-29 12:57:38.328041,Yahoo
69,Microsoft and Phone,iQOO Neo 9 Pro smartphone India launch scheduled for Feb 22: What to expect,Business Standard India,https://www.business-standard.com/technology/tech-news/iqoo-neo-9-pro-smartphone-india-launch-scheduled-for-feb-22-what-to-expect-124012600290_1.html,2011-01-29 12:57:38.328041,Yahoo
70,Microsoft and Phone,Microsoft tests Voice Clarity feature for Windows 11: How can it enhance user experience | - Times...,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-tests-voice-clarity-feature-for-windows-11-how-can-it-enhance-user-experience/articleshow/107210462.cms,2024-01-29 12:52:38.328041,Yahoo
71,Microsoft and Phone,"Apple announces changes coming to iPhone; layoffs at Microsoft, Flipkart, and others; India gets its...",The Times of India,https://timesofindia.indiatimes.com/gadgets-news/apple-announces-changes-coming-to-iphone-layoffs-at-microsoft-flipkart-and-others-india-gets-its-first-ai-unicorn-and-other-top-tech-news-of-the-week/photostory/107197586.cms,2024-01-29 07:57:38.328041,Yahoo
72,Microsoft and Phone,"AI Powers Microsoft to $3 Trillion Market Value, Second to Apple",Gadgets 360,https://www.gadgets360.com/internet/news/microsoft-usd-3-trillion-market-value-ai-openai-chatgpt-apple-4930306,2024-01-24 12:57:38.328041,Yahoo
73,Microsoft and Phone,FTC launches inquiry into AI deals such as Microsoft's OpenAI partnership,Business Standard India,https://www.business-standard.com/world-news/ftc-launches-inquiry-into-ai-deals-such-as-microsoft-s-openai-partnership-124012501252_1.html,2023-08-29 12:57:38.328041,Yahoo
74,Microsoft and Phone,"iPhone could soon be the best gaming phone, thanks to this Apple decision",T3,https://www.t3.com/news/iphone-could-soon-be-the-best-gaming-phone-thanks-to-this-apple-decision,2019-01-29 12:57:38.328041,Yahoo
75,Microsoft and Phone,Honor Magic V2 hands-on review: A fold above the rest,LaptopMag,https://www.laptopmag.com/reviews/honor-magic-v2-smartphone,2024-01-29 12:53:38.328041,Yahoo
76,Microsoft and Phone,Google Pixel 8 Series And Chrome Got These Big AI Upgrades; Here's What You Can Do Now,Mashable India,https://in.mashable.com/tech/68298/google-pixel-8-series-and-chrome-got-these-big-ai-upgrades-heres-what-you-can-do-now,2024-01-29 08:57:38.328041,Yahoo
77,Microsoft and Phone,Foxconn India journey gets a leg-up as CEO Young Liu gets Padma Bhushan,Business Standard India,https://www.business-standard.com/companies/news/foxconn-india-journey-gets-a-leg-up-as-ceo-young-liu-gets-padma-bhushan-124012600833_1.html,2024-01-25 12:57:38.328041,Yahoo
78,Microsoft and Phone,Users of Samsung's new Galaxy AI features may have to pay in the future - ET Telecom,The Economic Times,https://economictimes.indiatimes.com/industry/cons-products/electronics/users-of-samsungs-new-galaxy-ai-features-may-have-to-pay-in-the-future/articleshow/107210076.cms,2023-09-29 12:57:38.328041,Yahoo
79,Microsoft and Phone,iQOO Neo 9 Pro smartphone India launch scheduled for Feb 22: What to expect,Business Standard India,https://www.business-standard.com/technology/tech-news/iqoo-neo-9-pro-smartphone-india-launch-scheduled-for-feb-22-what-to-expect-124012600290_1.html,2020-01-29 12:57:38.328041,Yahoo
80,Microsoft and Phone,Microsoft tests Voice Clarity feature for Windows 11: How can it enhance user experience | - Times...,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-tests-voice-clarity-feature-for-windows-11-how-can-it-enhance-user-experience/articleshow/107210462.cms,2024-01-29 12:53:38.328041,Yahoo
81,Microsoft and Phone,"Apple announces changes coming to iPhone; layoffs at Microsoft, Flipkart, and others; India gets its...",The Times of India,https://timesofindia.indiatimes.com/gadgets-news/apple-announces-changes-coming-to-iphone-layoffs-at-microsoft-flipkart-and-others-india-gets-its-first-ai-unicorn-and-other-top-tech-news-of-the-week/photostory/107197586.cms,2024-01-29 08:57:38.328041,Yahoo
82,Microsoft and Phone,"AI Powers Microsoft to $3 Trillion Market Value, Second to Apple",Gadgets 360,https://www.gadgets360.com/internet/news/microsoft-usd-3-trillion-market-value-ai-openai-chatgpt-apple-4930306,2024-01-25 12:57:38.328041,Yahoo
83,Microsoft and Phone,FTC launches inquiry into AI deals such as Microsoft's OpenAI partnership,Business Standard India,https://www.business-standard.com/world-news/ftc-launches-inquiry-into-ai-deals-such-as-microsoft-s-openai-partnership-124012501252_1.html,2023-09-29 12:57:38.328041,Yahoo
84,Microsoft and Phone,"iPhone could soon be the best gaming phone, thanks to this Apple decision",T3,https://www.t3.com/news/iphone-could-soon-be-the-best-gaming-phone-thanks-to-this-apple-decision,2020-01-29 12:57:38.328041,Yahoo
85,Microsoft and Phone,Honor Magic V2 hands-on review: A fold above the rest,LaptopMag,https://www.laptopmag.com/reviews/honor-magic-v2-smartphone,2024-01-29 12:53:38.328041,Yahoo
86,Microsoft and Phone,Google Pixel 8 Series And Chrome Got These Big AI Upgrades; Here's What You Can Do Now,Mashable India,https://in.mashable.com/tech/68298/google-pixel-8-series-and-chrome-got-these-big-ai-upgrades-heres-what-you-can-do-now,2024-01-29 08:57:38.328041,Yahoo
87,Microsoft and Phone,Foxconn India journey gets a leg-up as CEO Young Liu gets Padma Bhushan,Business Standard India,https://www.business-standard.com/companies/news/foxconn-india-journey-gets-a-leg-up-as-ceo-young-liu-gets-padma-bhushan-124012600833_1.html,2024-01-25 12:57:38.328041,Yahoo
88,Microsoft and Phone,Users of Samsung's new Galaxy AI features may have to pay in the future - ET Telecom,The Economic Times,https://economictimes.indiatimes.com/industry/cons-products/electronics/users-of-samsungs-new-galaxy-ai-features-may-have-to-pay-in-the-future/articleshow/107210076.cms,2023-09-29 12:57:38.328041,Yahoo
89,Microsoft and Phone,iQOO Neo 9 Pro smartphone India launch scheduled for Feb 22: What to expect,Business Standard India,https://www.business-standard.com/technology/tech-news/iqoo-neo-9-pro-smartphone-india-launch-scheduled-for-feb-22-what-to-expect-124012600290_1.html,2020-01-29 12:57:38.328041,Yahoo
90,Microsoft and Phone,Microsoft tests Voice Clarity feature for Windows 11: How can it enhance user experience | - Times...,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-tests-voice-clarity-feature-for-windows-11-how-can-it-enhance-user-experience/articleshow/107210462.cms,2024-01-29 12:52:38.328041,Yahoo
91,Microsoft and Phone,"Apple announces changes coming to iPhone; layoffs at Microsoft, Flipkart, and others; India gets its...",The Times of India,https://timesofindia.indiatimes.com/gadgets-news/apple-announces-changes-coming-to-iphone-layoffs-at-microsoft-flipkart-and-others-india-gets-its-first-ai-unicorn-and-other-top-tech-news-of-the-week/photostory/107197586.cms,2024-01-29 07:57:38.328041,Yahoo
92,Microsoft and Phone,"AI Powers Microsoft to $3 Trillion Market Value, Second to Apple",Gadgets 360,https://www.gadgets360.com/internet/news/microsoft-usd-3-trillion-market-value-ai-openai-chatgpt-apple-4930306,2024-01-24 12:57:38.328041,Yahoo
93,Microsoft and Phone,FTC launches inquiry into AI deals such as Microsoft's OpenAI partnership,Business Standard India,https://www.business-standard.com/world-news/ftc-launches-inquiry-into-ai-deals-such-as-microsoft-s-openai-partnership-124012501252_1.html,2023-08-29 12:57:38.328041,Yahoo
94,Microsoft and Phone,"iPhone could soon be the best gaming phone, thanks to this Apple decision",T3,https://www.t3.com/news/iphone-could-soon-be-the-best-gaming-phone-thanks-to-this-apple-decision,2019-01-29 12:57:38.328041,Yahoo
95,Microsoft and Phone,Honor Magic V2 hands-on review: A fold above the rest,LaptopMag,https://www.laptopmag.com/reviews/honor-magic-v2-smartphone,2024-01-29 12:53:38.328041,Yahoo
96,Microsoft and Phone,Google Pixel 8 Series And Chrome Got These Big AI Upgrades; Here's What You Can Do Now,Mashable India,https://in.mashable.com/tech/68298/google-pixel-8-series-and-chrome-got-these-big-ai-upgrades-heres-what-you-can-do-now,2024-01-29 08:57:38.328041,Yahoo
97,Microsoft and Phone,Foxconn India journey gets a leg-up as CEO Young Liu gets Padma Bhushan,Business Standard India,https://www.business-standard.com/companies/news/foxconn-india-journey-gets-a-leg-up-as-ceo-young-liu-gets-padma-bhushan-124012600833_1.html,2024-01-25 12:57:38.328041,Yahoo
98,Microsoft and Phone,Users of Samsung's new Galaxy AI features may have to pay in the future - ET Telecom,The Economic Times,https://economictimes.indiatimes.com/industry/cons-products/electronics/users-of-samsungs-new-galaxy-ai-features-may-have-to-pay-in-the-future/articleshow/107210076.cms,2023-09-29 12:57:38.328041,Yahoo
99,Microsoft and Phone,iQOO Neo 9 Pro smartphone India launch scheduled for Feb 22: What to expect,Business Standard India,https://www.business-standard.com/technology/tech-news/iqoo-neo-9-pro-smartphone-india-launch-scheduled-for-feb-22-what-to-expect-124012600290_1.html,2020-01-29 12:57:38.328041,Yahoo
100,Microsoft and Phone,Microsoft tests Voice Clarity feature for Windows 11: How can it enhance user experience | - Times...,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-tests-voice-clarity-feature-for-windows-11-how-can-it-enhance-user-experience/articleshow/107210462.cms,2024-01-29 12:51:38.328041,Yahoo
101,Microsoft and Phone,"Apple announces changes coming to iPhone; layoffs at Microsoft, Flipkart, and others; India gets its...",The Times of India,https://timesofindia.indiatimes.com/gadgets-news/apple-announces-changes-coming-to-iphone-layoffs-at-microsoft-flipkart-and-others-india-gets-its-first-ai-unicorn-and-other-top-tech-news-of-the-week/photostory/107197586.cms,2024-01-29 06:57:38.328041,Yahoo
